lam_min  lam_max  lam_c
8233.037  8234.301  8233.648
8235.688  8237.135  8236.257
8239.292  8239.939  8239.583
8241.725  8242.465  8242.125
8245.114  8246.162  8245.688
8254.635  8255.221  8254.964
8258.271  8259.226  8258.770
8261.506  8262.307  8261.934
8265.296  8266.065  8265.682
8273.983  8274.568  8274.288
8276.140  8276.972  8276.594
8278.480  8279.264  8278.885
8281.539  8282.221  8281.854
8283.788  8284.773  8284.286
8289.829  8290.663  8290.229
8291.371  8292.154  8291.786
8296.136  8297.053  8296.538
8302.353  8303.000  8302.661
8306.258  8307.774  8307.140
8313.814  8314.522  8314.199
8318.188  8318.794  8318.479
8320.007  8320.791  8320.405
8323.216  8324.177  8323.681
8331.633  8332.239  8331.948
8340.731  8341.642  8341.223
8363.378  8365.122  8364.235
8936.182  8936.962  8936.543
8948.419  8949.792  8949.052
8950.729  8951.728  8951.210
8953.913  8955.036  8954.462
8956.316  8957.814  8957.136
8964.338  8966.305  8965.287
8967.429  8969.271  8968.238
8973.203  8974.452  8973.894
8975.014  8975.607  8975.335
8976.325  8977.854  8977.082
8978.510  8979.197  8978.825
8982.475  8984.129  8983.035
8988.483  8996.162  8992.189
9002.000  9003.842  9002.813
9005.549  9006.954  9006.242
9008.890  9010.669  9009.871
9011.105  9011.824  9011.514
9013.759  9014.914  9014.361
9018.317  9020.159  9019.105
